wav_filename,wav_filesize,transcript
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMDM0/SI681_rif.wav,79916, would such an act of refusal be useful
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMDM0/SI1311_rif.wav,173306, soil redeposition is evaluated by washing clean swatches with the dirty ones
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMDM0/SX141_rif.wav,101216, pledge to participate in nevada's aquatic competition
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMDM0/SX51_rif.wav,89542, ambidextrous pickpockets accomplish more
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMDM0/SX411_rif.wav,112276, butterscotch fudge goes well with vanilla ice cream
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMDM0/SI1941_rif.wav,59642, we'll talk over at your office
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMDM0/SX321_rif.wav,114528, the groundhog clearly saw his shadow but stayed out only a moment
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMDM0/SA1_rif.wav,101216, she had your dark suit in greasy wash water all year
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMDM0/SA2_rif.wav,80940, don't ask me to carry an oily rag like that
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MMDM0/SX231_rif.wav,51860, i honor my mom
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MCSS0/SI750_rif.wav,88518, add a few caraway seeds too if you'd like
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MCSS0/SX30_rif.wav,64762, get a calico cat to keep
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MCSS0/SI688_rif.wav,153644, the dead spirits occupied a prominent place in every hope and in every fear
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MCSS0/SX120_rif.wav,116372, the coyote bobcat and hyena are wild animals
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MCSS0/SX300_rif.wav,76026, amoebas change shape constantly
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MCSS0/SX210_rif.wav,75002, jeff's toy gocart never worked
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MCSS0/SX390_rif.wav,95892, he picked up nine pairs of socks for each brother
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MCSS0/SI1380_rif.wav,137260, there is little doubt that the students benefit from vocational education
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MCSS0/SA1_rif.wav,107974, she had your dark suit in greasy wash water all year
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MCSS0/SA2_rif.wav,91590, don't ask me to carry an oily rag like that
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MCDR0/SX164_rif.wav,122720, curiosity and mediocrity seldom coexist
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MCDR0/SX74_rif.wav,84628, an official deadline cannot be postponed
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MCDR0/SI524_rif.wav,152826, within a system however the autonomy of each member library is preserved
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MCDR0/SX434_rif.wav,82170, each stag surely finds a big fawn
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MCDR0/SX344_rif.wav,80940, i know i didn't meet her early enough
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MCDR0/SX254_rif.wav,65990, do they allow atheists in church
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MCDR0/SI1154_rif.wav,127020, only incomplete imperfect things move towards what they lack
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MCDR0/SA1_rif.wav,102444, she had your dark suit in greasy wash water all year
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MCDR0/SI1784_rif.wav,156308, there was a grunt curiously inarticulate like that of an animal in pain
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MCDR0/SA2_rif.wav,83604, don't ask me to carry an oily rag like that
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MLEL0/SX256_rif.wav,111660, the irate actor stomped away idiotically
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MLEL0/SI1246_rif.wav,105926, he was thus an early and spectacular victim
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MLEL0/SI616_rif.wav,151392, he injected more vitality into the score than it has revealed in many years
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MLEL0/SX436_rif.wav,92614, please sing just the club theme
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MLEL0/SX346_rif.wav,108794, the barracuda recoiled from the serpent's poisonous fangs
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MLEL0/SX166_rif.wav,136646, biologists use radioactive isotopes to study microorganisms
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MLEL0/SX76_rif.wav,107770, gently place jim's foam sculpture in the box
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MLEL0/SA1_rif.wav,119444, she had your dark suit in greasy wash water all year
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MLEL0/SA2_rif.wav,107974, don't ask me to carry an oily rag like that
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/MLEL0/SI1876_rif.wav,73568, a voice spoke nearathand
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/FEEH0/SX212_rif.wav,107156, i gave them several choices and let them set the priorities
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/FEEH0/SI1742_rif.wav,107564, with her sharp tongue she'd have cut his pompousness to ribbons
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/FEEH0/SX302_rif.wav,91590, tofu is made from processed soybeans
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/FEEH0/SI471_rif.wav,79916, suddenly my reflexes are gone
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/FEEH0/SX32_rif.wav,92000, it's fun to roast marshmallows on a gas burner
/home/danielvela/projects/speechbutlerphoneme/data/TIMIT/TRAIN/DR4/FEEH0/SX122_rif.wav,105312, encyclopedias seldom present anecdotal evidence
